state,bracket,population_2009,population_2016
Alabama,"$10,000 to $14,999",134988,126347
Alabama,"$100,000 to $124,999",108519,127870
Alabama,"$125,000 to $149,999",55565,70558
Alabama,"$15,000 to $19,999",125046,118846
Alabama,"$150,000 to $199,999",46035,66462
Alabama,"$20,000 to $24,999",120178,114040
Alabama,"$200,000 or more",39992,54083
Alabama,"$25,000 to $29,999",110437,105954
Alabama,"$30,000 to $34,999",105216,101692
Alabama,"$35,000 to $39,999",97549,93118
Alabama,"$40,000 to $44,999",91415,90043
Alabama,"$45,000 to $49,999",79708,75980
Alabama,"$50,000 to $59,999",149589,148141
Alabama,"$60,000 to $74,999",170463,174333
Alabama,"$75,000 to $99,999",191272,204249
Alabama,"Less than $10,000",193469,179345
Alaska,"$10,000 to $14,999",9008,8418
Alaska,"$100,000 to $124,999",25090,28526
Alaska,"$125,000 to $149,999",15090,19613
Alaska,"$15,000 to $19,999",8340,8345
Alaska,"$150,000 to $199,999",14169,22037
Alaska,"$20,000 to $24,999",9918,9349
Alaska,"$200,000 or more",9559,16978
Alaska,"$25,000 to $29,999",10358,8311
Alaska,"$30,000 to $34,999",10268,9295
Alaska,"$35,000 to $39,999",9829,9504
Alaska,"$40,000 to $44,999",10628,10355
Alaska,"$45,000 to $49,999",10393,8585
Alaska,"$50,000 to $59,999",19589,17878
Alaska,"$60,000 to $74,999",26588,26891
Alaska,"$75,000 to $99,999",35969,36934
Alaska,"Less than $10,000",9983,9216
Arizona,"$10,000 to $14,999",113771,125264
Arizona,"$100,000 to $124,999",167597,189025
Arizona,"$125,000 to $149,999",93591,110715
Arizona,"$15,000 to $19,999",117428,127003
Arizona,"$150,000 to $199,999",81181,107864
Arizona,"$20,000 to $24,999",129134,135185
Arizona,"$200,000 or more",76876,101665
Arizona,"$25,000 to $29,999",127613,133260
Arizona,"$30,000 to $34,999",129527,130764
Arizona,"$35,000 to $39,999",121730,122877
Arizona,"$40,000 to $44,999",119477,125810
Arizona,"$45,000 to $49,999",106383,107768
Arizona,"$50,000 to $59,999",193921,206026
Arizona,"$60,000 to $74,999",239002,247629
Arizona,"$75,000 to $99,999",278303,294491
Arizona,"Less than $10,000",152636,183573
Arkansas,"$10,000 to $14,999",87121,82519
Arkansas,"$100,000 to $124,999",54018,70708
Arkansas,"$125,000 to $149,999",27585,37074
Arkansas,"$15,000 to $19,999",80945,76391
Arkansas,"$150,000 to $199,999",22426,31835
Arkansas,"$20,000 to $24,999",80938,77626
Arkansas,"$200,000 or more",19484,30167
Arkansas,"$25,000 to $29,999",73323,69990
Arkansas,"$30,000 to $34,999",71366,69515
Arkansas,"$35,000 to $39,999",63707,61745
Arkansas,"$40,000 to $44,999",58603,59774
Arkansas,"$45,000 to $49,999",52973,52081
Arkansas,"$50,000 to $59,999",93175,95250
Arkansas,"$60,000 to $74,999",102735,109400
Arkansas,"$75,000 to $99,999",105867,115768
Arkansas,"Less than $10,000",115369,101637
California,"$10,000 to $14,999",628340,629347
California,"$100,000 to $124,999",1106644,1171087
California,"$125,000 to $149,999",710490,779571
California,"$15,000 to $19,999",567704,570021
California,"$150,000 to $199,999",754969,935208
California,"$20,000 to $24,999",586414,595028
California,"$200,000 or more",767989,1110197
California,"$25,000 to $29,999",566709,549453
California,"$30,000 to $34,999",556073,562391
California,"$35,000 to $39,999",538037,516373
California,"$40,000 to $44,999",533922,520991
California,"$45,000 to $49,999",488245,470573
California,"$50,000 to $59,999",945136,912385
California,"$60,000 to $74,999",1223969,1203377
California,"$75,000 to $99,999",1564337,1552490
California,"Less than $10,000",648213,728895
Colorado,"$10,000 to $14,999",87257,80302
Colorado,"$100,000 to $124,999",163201,194355
Colorado,"$125,000 to $149,999",95908,122056
Colorado,"$15,000 to $19,999",85585,82773
Colorado,"$150,000 to $199,999",91592,133864
Colorado,"$20,000 to $24,999",92493,93281
Colorado,"$200,000 or more",81105,128838
Colorado,"$25,000 to $29,999",92568,90734
Colorado,"$30,000 to $34,999",91439,94758
Colorado,"$35,000 to $39,999",88459,89353
Colorado,"$40,000 to $44,999",92789,92951
Colorado,"$45,000 to $49,999",82777,82952
Colorado,"$50,000 to $59,999",155616,162904
Colorado,"$60,000 to $74,999",203109,211250
Colorado,"$75,000 to $99,999",244601,276255
Colorado,"Less than $10,000",120777,114990
Connecticut,"$10,000 to $14,999",54931,50565
Connecticut,"$100,000 to $124,999",136220,134162
Connecticut,"$125,000 to $149,999",84582,95329
Connecticut,"$15,000 to $19,999",53304,54190
Connecticut,"$150,000 to $199,999",90279,111209
Connecticut,"$20,000 to $24,999",52666,55194
Connecticut,"$200,000 or more",104010,138828
Connecticut,"$25,000 to $29,999",52832,50989
Connecticut,"$30,000 to $34,999",53092,51415
Connecticut,"$35,000 to $39,999",50834,50649
Connecticut,"$40,000 to $44,999",53267,50106
Connecticut,"$45,000 to $49,999",49307,46192
Connecticut,"$50,000 to $59,999",98349,91810
Connecticut,"$60,000 to $74,999",134778,126135
Connecticut,"$75,000 to $99,999",185880,172153
Connecticut,"Less than $10,000",73151,75787
Delaware,"$10,000 to $14,999",13244,12613
Delaware,"$100,000 to $124,999",29266,32000
Delaware,"$125,000 to $149,999",17080,20337
Delaware,"$15,000 to $19,999",14768,14548
Delaware,"$150,000 to $199,999",16081,21249
Delaware,"$20,000 to $24,999",16476,16118
Delaware,"$200,000 or more",12494,18630
Delaware,"$25,000 to $29,999",15795,15936
Delaware,"$30,000 to $34,999",16221,17062
Delaware,"$35,000 to $39,999",14816,16024
Delaware,"$40,000 to $44,999",16107,15665
Delaware,"$45,000 to $49,999",14194,14757
Delaware,"$50,000 to $59,999",29139,28118
Delaware,"$60,000 to $74,999",35756,37108
Delaware,"$75,000 to $99,999",45565,47615
Delaware,"Less than $10,000",18158,20271
District of Columbia,"$10,000 to $14,999",12177,12205
District of Columbia,"$100,000 to $124,999",17917,25245
District of Columbia,"$125,000 to $149,999",13789,17922
District of Columbia,"$15,000 to $19,999",11060,10112
District of Columbia,"$150,000 to $199,999",16712,24110
District of Columbia,"$20,000 to $24,999",10214,9641
District of Columbia,"$200,000 or more",23557,39318
District of Columbia,"$25,000 to $29,999",10382,9405
District of Columbia,"$30,000 to $34,999",11370,9225
