"state","velocity"
"Alabama",5.762295923618475
"Alaska",10.444134920140318
"Arizona",2.3000251223190147
"Arkansas",6.4615287048007275
"California",4.543148890027408
"Colorado",7.937171337195987
"Connecticut",4.765747161306637
"Delaware",4.643306699026287
"Florida",2.9024333809559777
"Georgia",3.0918247932113596
"Hawaii",8.046463071438863
"Idaho",5.506275546511218
"Illinois",5.657781293077578
"Indiana",5.212521478647395
"Iowa",9.45891988262784
"Kansas",7.446206717434639
"Kentucky",6.126169682542855
"Louisiana",6.240449356967903
"Maine",7.0448283740115665
"Maryland",6.630439259897584
"Massachusetts",7.0426571899542365
"Michigan",3.7100180987935394
"Minnesota",8.20430151612367
"Mississippi",5.730424544986869
"Missouri",5.861305240783309
"Montana",8.76836258122678
"Nebraska",10.134102905696775
"Nevada",-1.915848453587714
"New Hampshire",6.797003884899511
"New Jersey",4.756273684685443
"New Mexico",4.904263192048524
"New York",6.488399197759236
"North Carolina",5.346618798859411
"North Dakota",19.302682541305664
"Ohio",5.803720625098605
"Oklahoma",9.104261067919968
"Oregon",6.8249835593116295
"Pennsylvania",7.782304628521072
"Rhode Island",4.465928927085765
"South Carolina",5.674064073151694
"South Dakota",11.84592337562588
"Tennessee",6.089157867569837
"Texas",8.887064687205784
"Utah",8.365038637139973
"Vermont",6.79583676800273
"Virginia",6.9986016740947425
"Washington",8.378220072119392
"West Virginia",8.60048628772431
"Wisconsin",5.629262407436953
"Wyoming",9.429143467204335
